id,name,artists_names,track_uri,popularity,album_type,is_playable,release_date,artists_uris,playlist_uris
246748,Janet,['Berhana'],spotify:track:3ml3WB66sqG4kXoPBX2POA,51,single,True,2016-07-21,['spotify:artist:0WjtdWS6su0f3jrW9aqEHl'],['spotify:playlist:6hHmtAcjBQpKitcGT0SG40']
31190,Last hours,['The illusion of free will'],spotify:track:4Ro0xP0JVdduqfrtvzjEVS,11,album,True,2022-03-09,['spotify:artist:4F1TrxZQgTd84chFyjTcUC'],['spotify:playlist:6JmgyHHy7mGB9FATmGy75r']
8171,Love Will Set You Free,['Kodaline'],spotify:track:11IYMTXu5Uws1DjmUMLOcP,46,album,True,2015-02-09,['spotify:artist:4BxCuXFJrSWGi1KHcVqaU4'],['spotify:playlist:570hGo7erld1IQvKKde3Jb']
247029,All Cried Out - Behind the scenes Video,['Allure'],spotify:track:57vYbt3PuAPJhZ4NSZ1y2t,0,album,True,1997-03-19,['spotify:artist:1VPr8y4GGZJBtWyaoLdYUT'],['spotify:playlist:1EsRiUFQ0OBlQ8FP9Oz746']
141684,5 Leaf Clover,['Luke Combs'],spotify:track:2RbIoEQeXBoJzWt09eitEI,74,single,True,2023-03-17,['spotify:artist:718COspgdWOnwOFpJHRZHS'],['spotify:playlist:37i9dQZF1DX1lVhptIYRda']
59477,Closer to the Sun,['Betcha'],spotify:track:3gxR0LgIlt97ThvmBuBEsq,36,album,True,2020-10-16,['spotify:artist:3pT3KTodKJRyqpxoXINfQh'],['spotify:playlist:6TzupjGuks4fsJ3dJYJhzo']
192501,Bullets in the Gun,['Toby Keith'],spotify:track:26bRcXA9qmivWYTPocMlfT,45,album,True,2010-10-04,['spotify:artist:2bA6fzP0lMAQ4kz6CF61w8'],['spotify:playlist:5LhIOGayylJTioRBrAcDlJ']
11943,The Arts and the Hours,"['Jean-Philippe Rameau', 'Víkingur Ólafsson']",spotify:track:1G3QPQkoXvpChjNUhd6Tfs,63,single,True,2020-03-06,"['spotify:artist:4JSWO1Pf2zV991fq64uAce', 'spotify:artist:0iqgjl0OG3z53PZVIB7ZyD']","['spotify:playlist:37i9dQZF1DWXjj6kdiviS0', 'spotify:playlist:37i9dQZF1DWVFeEut75IAL', 'spotify:playlist:37i9dQZF1DXdPDLmy88MDk']"
203783,You Hold Me Now,"['Hillsong Instrumentals', 'David Andrew']",spotify:track:6zNCMxL6YoCTrSutbVdV4b,26,album,True,2017-03-17,"['spotify:artist:4d8bnn80rmLCwHU08DjGPS', 'spotify:artist:44nxpJ4QALHoSoUFpWiIQc']",['spotify:playlist:2l2uMQFsOY61y9e0rD5mNg']
135867,I Just Am,['nthng'],spotify:track:0fluPtzri0v8nlgrFRbQRt,26,album,True,2020-04-24,['spotify:artist:1V0EQCS8125xaDrR4ZURGO'],['spotify:playlist:31i48rxbVmb0StIMEGU5NN']
204422,You Are Mine,['David Haas'],spotify:track:4ZWBLvqU9JdgSI99gDiPPv,0,compilation,True,1995-01-01,['spotify:artist:25G5O7lNs9L9dGHM7Ymyzc'],['spotify:playlist:7putYuIpMjxx6J0PDwzoFX']
205337,Rangrez (Wadali Bros),['Krsna Solo'],spotify:track:7GhD4UNmwIrUCwRCodequT,35,album,True,2011-02-02,['spotify:artist:1fn1zda146dVI8wNdqi9l6'],['spotify:playlist:1DtTdcHZZKpQNqRvTruMaC']
