id,name,artists_names,track_uri,popularity,album_type,is_playable,release_date,artists_uris,playlist_uris
165725,Precious Words,['Swing Out Sister'],spotify:track:2v4VUWxcbrYgBiKxKHwauv,30,album,True,1989-01-01,['spotify:artist:4phr5rAgWhcZtWJu8w8lKv'],['spotify:playlist:37i9dQZF1DZ06evO2zXzs7']
259081,Montreal,['Roosevelt'],spotify:track:5maosvba9QkQP14u6vtxog,54,single,True,2013-08-19,['spotify:artist:4AQrqVz6BYwy29iMxcGtx7'],['spotify:playlist:1cPIgQBzSthkjZuSRxUPQM']
44443,Th3 Awak3n1ng,['Really Slow Motion'],spotify:track:7ege3Gn7rFPmMoinSteN9t,36,album,True,2014-06-20,['spotify:artist:4dDb2XLONSNrTrucRcoaYM'],"['spotify:playlist:6jOJQfjV34kbtcvuW04AmW', 'spotify:playlist:4urc7YNQ4g16Wa8SYKWpbT']"
141219,Muli,['Brownman Revival'],spotify:track:6qQ4j0smjILSHhjbOgcozl,27,album,True,2007-02-22,['spotify:artist:7ymgfUyJFViyg1qFo4M2nH'],['spotify:playlist:6ePYmVCjnoJqAHkcyBv5gu']
84906,Sittin' Here Wishin' That I Could Go Fishin',['Alton Jones'],spotify:track:2nfjN4I3TgHbVWiBSPGZQu,28,single,True,2011-09-26,['spotify:artist:68zahxGXWiSz6ShqcJNoH5'],['spotify:playlist:6sNULkv7uKNhwuGMJQ0Wgx']
71381,I’ve Been Working On The Railroad,['Cooltime Kids'],spotify:track:2k6HhRxRBE8ktvz8aJKvB9,0,album,True,2017-05-26,['spotify:artist:5Cx0MO39eG4ElGaD1juoZQ'],['spotify:playlist:1CXeMKXdTfgq8WFx3QpiKq']
47275,Tu / You,['Armaan Malik'],spotify:track:4L6hCEc9xFf01U4d66JzK0,67,single,True,2022-07-22,['spotify:artist:4IKVDbCSBTxBeAsMKjAuTs'],['spotify:playlist:2bu58Ap3X8mORoGafKrXey']
21421,Adiyae Kolluthey,['Harris Jayaraj'],spotify:track:2YoPh281gD3xPnTkojVSr3,60,album,True,2008-10-08,['spotify:artist:29aw5YCdIw2FEXYyAJZI8l'],['spotify:playlist:2dfxXydOyOL5dH20r289KU']
52255,Carinha de Bebê,"['Ana Castela', 'PEDRO SAMPAIO']",spotify:track:2jZrMlMuTk1N3LJS8yQM6q,75,single,True,2023-02-14,"['spotify:artist:2CKOmarVWvWqkNWUatHCex', 'spotify:artist:5wbf52LA6kcaboHSN6NEF1']","['spotify:playlist:0aCLoMwDACV7tEqjpj3I7v', 'spotify:playlist:6l0HJ2gBmteUfiNrsc479o', 'spotify:playlist:3I1SXnaNvXoIZGN0IrRpw7']"
133309,"13 Preludes, Op. 32: No. 5 in G Major. Moderato","['Sergei Rachmaninoff', 'Idil Biret']",spotify:track:1PAKle3AV53TU0ObyhBYkp,42,album,True,1991-05-17,"['spotify:artist:0Kekt6CKSo0m5mivKcoH51', 'spotify:artist:5SBOWUBQdfga0xprPVBxOr']",['spotify:playlist:3cH7TRHW9lM98Feftb9rog']
55430,Reloj,['Rauw Alejandro'],spotify:track:4loQgPwJHocL3dFwLfjb1J,69,album,True,2020-11-13,['spotify:artist:1mcTU81TzQhprhouKaTkpq'],['spotify:playlist:6nNZNHK00q9KmcKxfKlA3b']
25007,Moving Slowly,['Wilson Trouvé'],spotify:track:596oi0xDA9ZQIHTLJr1Zg6,41,single,True,2022-05-05,['spotify:artist:1Qh6CmBget32TmvDZBoK8E'],['spotify:playlist:6QSFMpijUk9UQdc1UV9gtN']
201493,As The Deer (Maranatha),['Yameii Online'],spotify:track:0vOsEpYprE5YaG25PwVrNG,50,compilation,True,1993-01-01,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],['spotify:playlist:37i9dQZF1EIf2v4owEMkML']
91380,SO WHAT (FEAT. DC THE DON),['Dro Kenji'],spotify:track:6fdxpwerepfYpTCjchuP5J,52,album,True,2022-08-05,['spotify:artist:46fHMu9KxdQwcGV9xI1L9R'],['spotify:playlist:5LiKhIi9NhNxEZJVVXwtT5']
229504,Pensar En Ti,['Luis Miguel'],spotify:track:4tDY2UqYP370iZLJGYDvvz,50,album,True,1993,['spotify:artist:2nszmSgqreHSdJA3zWPyrW'],['spotify:playlist:7bgQ8FouKDGjGdXztsbdZB']
145902,With You I Am,['Cody Johnson'],spotify:track:34SQ0QfLSR316d8KL2zkuZ,63,album,True,2016-08-05,['spotify:artist:6zLBxLdl60ekBLpawtT63I'],"['spotify:playlist:219jvLoYRK32Vnntyoz4w7', 'spotify:playlist:5dwuyOaRo8HbECvu0qGlAL', 'spotify:playlist:2s6UjJ7UFKpIjV03O9YHDt', 'spotify:playlist:5RBECAyeXRpb36apJNCr3m', 'spotify:playlist:032dLUeTpoigJE7t9LQoQY', 'spotify:playlist:7s7i8nT7m9OoF32Zj8CmlG']"
63734,Be There For You,['CARRTOONS'],spotify:track:6m8MJydiBEGbAJIJKhFNUX,57,album,True,2022-04-20,['spotify:artist:0994Up3Ob4zUFm3OFOWpzJ'],['spotify:playlist:4zQwqIIOks2IXJ2iU43YDx']
62493,Silently Screaming,['Bad Suns'],spotify:track:3TATv4OQlg7WzRGqjwoY7q,33,album,True,2022-01-28,['spotify:artist:0YhUSm86okLWldQVwJkLlP'],['spotify:playlist:4TeSSmqjLYF6u1jZGkiyPc']
93229,Third Eye,"['Jimmy Clash', 'DJ Junior (TW)']",spotify:track:1xkYYQmULZ6bjPyud9C3DD,0,single,True,2019-05-09,"['spotify:artist:0Aa2FUc7MciV28GazFTWJb', 'spotify:artist:5guBrcv1BxjlJdKlW8MNyh']",['spotify:playlist:3icA2Dcd9IP4FKQ9EaVKGH']
145829,Backstep Cindy/Purple Bamboo,['Abigail Washburn'],spotify:track:6XuD42wKyxfGOTrO1kdZK0,0,album,True,2005,['spotify:artist:40CfCtMnEXvvCKk8J1DniP'],['spotify:playlist:3RaoprHb8o3ACAem8Hztsa']
50635,Into Black,['Blouse'],spotify:track:5d8pKJxoDlYX2SoFR6RCsm,0,album,True,2011-10-31,['spotify:artist:58QP6z41dSgPjoiJkIjCcL'],"['spotify:playlist:2f9pxJkZODXoVfTIDaK0Uk', 'spotify:playlist:37i9dQZF1DWSluyUi4YGjq']"
211341,Summer Drive,['Killstarr'],spotify:track:449p16OlbFYMvPQNrp1hFW,28,single,True,2014-08-15,['spotify:artist:1kWtjMazlZQwIm7ZWIiBKk'],['spotify:playlist:3tS3XvHIK7mqiMKUaexko3']
22334,double take,['dhruv'],spotify:track:58wjlIN5lb50IFufJkaJNE,0,single,True,2019-05-24,['spotify:artist:70NcAr4ZtA3FAqU16iQZSb'],"['spotify:playlist:0Ig2bGdJ8skeSIpnFyLdsn', 'spotify:playlist:545Ls2GHW8xqjgXr2LiDAm', 'spotify:playlist:37i9dQZF1DWVlLVXKTOAYa', 'spotify:playlist:5Jkzwm3wkVT65oRJyjZlWv', 'spotify:playlist:4pKcrqYfUEOJ89CCCmpg4z', 'spotify:playlist:13GenitFInRh3rLiirrrRk', 'spotify:playlist:4n5VGa2jE5LHT5STmD4x9H', 'spotify:playlist:6cD4ktcUoXQyQqwnY9bNCE', 'spotify:playlist:0pnkMGxPBXX3EpbbMlclA0']"
179350,Queef,['The Spacepimps'],spotify:track:3juv4GN6Etr3fyIsc6paYS,0,compilation,True,2013-08-27,['spotify:artist:0LyfQWJT6nXafLPZqxe9Of'],['spotify:playlist:6siK4mUzjvapj8MVd2BYVN']
133126,"Pour le piano, L. 95: III. Toccata","['Claude Debussy', 'Stany David Lasry']",spotify:track:28WjAtY1Tr8Y8KQ1VYPbTY,0,album,True,2018-02-16,"['spotify:artist:1Uff91EOsvd99rtAupatMP', 'spotify:artist:6XNx2iwZal24Nt6cMFgPXX']",['spotify:playlist:1Kk3qEcZDBooc1nJ17viGT']
180382,That's How Ya Feel,['Jeezy'],spotify:track:0vSZLi8CPLYAwaPfubMSbz,36,album,True,2005,['spotify:artist:4yBK75WVCQXej1p04GWqxH'],['spotify:playlist:0RDKuOGSv6DGBZ2rcM4WND']
138672,Shady Grove,['Among The Oak & Ash'],spotify:track:071smWCqhOmkiijPY11vmK,31,album,True,2009-01-01,['spotify:artist:3Ku4zbR8F3i1MaBgY8gDc8'],['spotify:playlist:0QyVLxqglOlaxeX9RHefA2']
